"c_date";"c_no";"c_sum";"c_type";"c_comment";"c_receipt_id";"c_submit_date";"c_type";"c_pay_date";"c_no";"c_status";"r_comment"
"2017-04-08";"869";30;1;"加班 2017-04-08 7h";6;"2018-02-20";0;"2018-02-20 00:00:00";"869";1;"报销功能上线历史记录数据修正"
"2017-04-19";"869";30;1;"加班 2017-04-19 3h";6;"2018-02-20";0;"2018-02-20 00:00:00";"869";1;"报销功能上线历史记录数据修正"
"2017-04-24";"869";30;1;"加班 2017-04-24 4.5h";6;"2018-02-20";0;"2018-02-20 00:00:00";"869";1;"报销功能上线历史记录数据修正"
"2017-04-29";"869";30;1;"加班 2017-04-29 7h";6;"2018-02-20";0;"2018-02-20 00:00:00";"869";1;"报销功能上线历史记录数据修正"
"2017-12-16";"NT017";30;1;"加班 2017-12-16 8h";7;"2018-02-20";0;"2018-02-20 00:00:00";"NT017";1;"报销功能上线历史记录数据修正"
"2017-12-19";"NT017";30;1;"加班 2017-12-19 3.5h";7;"2018-02-20";0;"2018-02-20 00:00:00";"NT017";1;"报销功能上线历史记录数据修正"
"2016-12-07";"NT019";30;1;"加班 2016-12-07 2.5h";8;"2018-02-20";0;"2018-02-20 00:00:00";"NT019";1;"报销功能上线历史记录数据修正"
"2017-09-23";"NT019";30;1;"加班 2017-09-23 7.5h";8;"2018-02-20";0;"2018-02-20 00:00:00";"NT019";1;"报销功能上线历史记录数据修正"
"2016-11-26";"NT020";30;1;"加班 2016-11-26 8h";9;"2018-02-20";0;"2018-02-20 00:00:00";"NT020";1;"报销功能上线历史记录数据修正"
"2017-01-07";"NT020";30;1;"加班 2017-01-07 7h";9;"2018-02-20";0;"2018-02-20 00:00:00";"NT020";1;"报销功能上线历史记录数据修正"
"2017-03-15";"NT020";30;1;"加班 2017-03-15 2.5h";9;"2018-02-20";0;"2018-02-20 00:00:00";"NT020";1;"报销功能上线历史记录数据修正"
"2017-05-11";"NT020";30;1;"加班 2017-05-11 2.5h";9;"2018-02-20";0;"2018-02-20 00:00:00";"NT020";1;"报销功能上线历史记录数据修正"
"2017-06-20";"NT020";30;1;"加班 2017-06-20 3h";9;"2018-02-20";0;"2018-02-20 00:00:00";"NT020";1;"报销功能上线历史记录数据修正"
"2017-06-24";"NT020";30;1;"加班 2017-06-24 9h";9;"2018-02-20";0;"2018-02-20 00:00:00";"NT020";1;"报销功能上线历史记录数据修正"
"2017-07-15";"NT020";30;1;"加班 2017-07-15 6h";9;"2018-02-20";0;"2018-02-20 00:00:00";"NT020";1;"报销功能上线历史记录数据修正"
"2017-09-30";"NT020";30;1;"加班 2017-09-30 8h";9;"2018-02-20";0;"2018-02-20 00:00:00";"NT020";1;"报销功能上线历史记录数据修正"
